날짜,제목,조회,공감,비공감
2023.05.01 18:31,거래정지당할수도 있다.,41,0,0
2023.05.01 17:28,찬티 안티 팽팽하네,220,3,0
2023.05.01 17:27,어차피 더 빠질것도 없다,263,4,0
2023.05.01 17:25,대주주 처분 물량은 대체 누가 샀을까?,165,1,2
2023.05.01 17:20,# 내년 총선때 몰표 주자. !!!!,233,9,1
2023.05.01 17:18,"경제대기권...“탐욕의 덫”…주가조작 의혹, 무엇이 문제인가? [9시 뉴스] / KBS ",226,2,2
2023.05.01 17:16,대성홀딩스도 폭락 전 서울가스 주식 팔아 1600억원 확보,251,1,2
2023.05.01 17:14,삼가고인의명복을빕니다 ,250,2,1
2023.05.01 16:52,화요일 진입 예정 개미들은,372,2,3
2023.05.01 16:28,게시판이 혼탁. 급등 적막감이. 서울가스 화상!,355,2,1
2023.05.01 16:28,대주주  매도 킥킥  작전 영화 비슷 하네 킥킥  ,281,1,1
2023.05.01 16:27,주가조작단일당,122,0,0
2023.05.01 16:24,김익래 회장 이어 김영민 서울가스 회장도? 폭락전 13년만에 매도 수백억 먹티 좃되버려,257,0,3
2023.05.01 16:21,2020년부터 관리한 종목들이기 때문에 특정 세력에 의한 의도적인 폭락 여부도 살펴봐야 한다.,329,2,0
2023.05.01 16:20,어차피주가조작땜시 4연하한가맞았는데,362,7,0
2023.05.01 16:16,화요일날 매수들 해라 킥킥  영화 작전 보면 알거다,271,1,1
2023.05.01 16:06,대주주가 승자이다..,306,8,1
2023.05.01 15:59,자... 보자!,294,3,0
2023.05.01 15:58,찬티많아,243,2,1
2023.05.01 15:56,영화 작전 보고 와라 대박 이네 주식은 이거지 킥킥 ,270,1,0
2023.05.01 15:55,투자자리스크 최소화 증권사장단소집,244,1,0
2023.05.01 15:50,영화 작전 보고  와라  설거지 전문 우박사  대박 이네 킥킥 ,245,1,0
2023.05.01 15:45,간호법 반대하는 의사집단,277,6,3
2023.05.01 15:43,빚 청산,101,0,0
2023.05.01 15:38,금융 감독  당국  탐욕,276,3,1
2023.05.01 15:34,먼 바다건너 악재발생 퍼스트리퍼블릭은행 주가는 43% 폭락에 주가조작에 악재가 또하나 생겨 하종가것다,283,3,0
2023.05.01 15:32,월요일 축상,363,5,2
2023.05.01 15:18,대주주 급락 2틀전 수백억 매도가 걸림돌 검찰수사 어떻게 나올지,596,4,7
2023.05.01 15:36,대주주 급락 2틀전 수백억 매도가 걸림돌 검찰수사 어떻게 나올지,81,4,1
2023.05.01 15:02,상승 하락,318,2,1
2023.05.01 14:59,"주말속보...제2의 SVB사태 오나?‥""은행 파산 연준 책임""",354,1,0
2023.05.01 14:56,화요일 대장주 점상주.서울가스,455,13,2
2023.05.01 14:55,궁금합니다..,272,2,0
2023.05.01 14:51,배당금 얼마나오냐?,109,0,0
2023.05.01 14:53,배당금 얼마나오냐?,81,0,0
2023.05.01 14:37,신용 개털,122,0,0
2023.05.01 14:32,잘먹고간다,452,1,0
2023.05.01 14:37,잘먹고간다,75,1,0
2023.05.01 14:31,SG증권 CFD(차액거래)반대매매수량 관련,387,8,0
2023.05.01 14:24,8종목 중에,367,1,6
2023.05.01 14:18,다음주,112,0,2
2023.05.01 14:16,SG증권발 셀럽 주식,100,0,0
2023.05.01 14:01,이기 나라가..조작회사가 폭등?,318,2,1
2023.05.01 13:55,진짜 지옥은 외인 기관 물량 어느정도 넘겼을때다..ㅋㅋ,343,2,0
2023.05.01 13:52,ㅋㅋㅋ,336,4,0
2023.05.01 13:50,22년11월25일 증권사 목표가47만원 신규STRONGBUY,444,9,0
2023.05.01 13:38,신용미수거래 0%한국증권금융 5%지분에 없다,412,11,0
2023.05.01 13:34,극찬티 창궐,334,1,1
2023.05.01 13:30,가스값 57% 폭등,451,18,0
2023.05.01 13:30,국회의원은 주택임대차보호법 제3조1항을 고쳐라.,283,1,0
2023.05.01 13:30,쩐의 전쟁이다. 가즈아 쩜상 . 화요일이다,338,7,0
2023.05.01 13:29,서울가스 시세 조정 시작점,136,0,0
2023.05.01 13:27,유동주식 꼴랑 120만주,363,9,0
2023.05.01 13:27,금융감독원 개소리,97,0,0
2023.05.01 13:22,폭락사태 관련 종목 지분율 분석,334,6,0
2023.05.01 13:20,4종목 예전 주가,382,2,0
2023.05.01 13:08,대주주 일단 검찰조사 받아봐야지~~#,83,0,1
2023.05.01 12:59,은행 ->증권사 계좌로 자금 이체 해놓았제?,359,4,1
2023.05.01 12:53,김회장 빠른시일내에,108,0,0
2023.05.01 12:44,폭락이 찬스,320,3,0
2023.05.01 12:35,"퍼온글인데 제대로짚었다,,,매도한사람이 주가조작안한거다",491,6,0
2023.05.01 12:31,가는주식은 가는거다.비바람은 잠시. 전고점 회귀한다,363,5,0
2023.05.01 12:23,"다들얘기하자나 기존작전과다르다,,,고",428,8,1
2023.05.01 12:15,곧,172,0,2
2023.05.01 12:28,곧,73,0,0
2023.05.01 12:14,흠..,301,1,0
2023.05.01 12:10,"외인,기관,프로그램 다파는데",114,0,0
2023.05.01 12:00,.,92,0,0
2023.05.01 11:46,뉴스보세요..희망 갖지 말고요,442,3,2
2023.05.01 11:46,다음주,328,7,0
2023.05.01 11:37,사실 하한가 한방정도로끝날것을,414,16,1
2023.05.01 11:28,오늘따라,83,0,0
2023.05.01 11:23,깨꼴락지는 되지말자 (매수 주가를 결정하는 방법),90,0,0
2023.05.01 11:23,서울가스ㆍ선광ㆍ다우데이타=,305,3,4
2023.05.01 11:23,법적하자가 문재냐,76,0,0
2023.05.01 11:17,내일 08시 30분,361,0,3
2023.05.01 11:20,거래 정지 사유가 안되요,90,5,0
2023.05.01 11:16,아무리못해도 25만~30만까지는 찍는다,311,5,2
2023.05.01 11:12,지미럴~,81,0,0
2023.05.01 11:12,여보 세력 나야~~,73,0,0
2023.05.01 10:53,내일내리든오르든  그냥한몇달갖고갈란다,281,8,1
2023.05.01 10:47,세력,246,1,1
2023.05.01 10:27,화요일부터 연상가게 생겼다.서울가스20만원까지 급등한다,501,11,3
2023.05.01 10:23,삼천리를 안사고,314,1,0
2023.05.01 10:22,학교,112,0,0
2023.05.01 10:10,"봐라. 지분매각하면 주가조작이냐,서울가스와 상관없다",310,4,2
2023.05.01 10:09,여기서 상폐주장하는 인간들은?,256,6,0
2023.05.01 10:00,신용 잔고 그대로.?,367,1,1
2023.05.01 09:54,시장분석했으니 참고하세요!!,142,0,0
2023.05.01 09:05,지랄들을 하네요.,462,9,1
2023.05.01 09:03,내일 상승할까요,439,24,0
2023.05.01 09:02,■하한가 3방  추가에 상장폐지■,352,1,2
2023.05.01 11:17,prim**** 니 인생 상폐 ■하한가 3방  추가에 상장폐지■,38,0,0
2023.05.01 08:39,국내주식은,273,1,0
2023.05.01 08:36,금융 종사자들 모두 공돌이 들이가?,372,2,0
2023.05.01 08:22,음,157,0,0
2023.05.01 08:10,하락4번,618,2,0
2023.05.01 08:09,서울가스,188,1,0
2023.05.01 08:06,금융감독원 개소리,360,6,1
2023.05.01 08:05,폭등후 폭락반전이라...,298,2,4
2023.05.01 08:02,용기와~^^,217,2,1
2023.05.01 06:58,요거는 위험한 주시기다,405,5,11
2023.05.01 08:44,요거는 위험한 주시기다,80,2,0
2023.05.01 06:53,상폐시켜라 주가조작 사형시켜라,258,3,3
2023.05.01 06:34, 내가 10억을 샀는데 거래정지되면 우짜지 ,551,3,5
2023.05.01 06:16,곧 장 열린다‥!,536,12,1
2023.05.01 07:06,곧 장 열린다‥!,142,1,0
2023.05.01 05:53,오늘 월요일 이긴 하나 ,205,0,1
2023.05.01 05:42,서울가스01....이 주식 덕분에 내가 원하는 차를 살 수 있었어!,399,1,1
2023.05.01 05:39,주가는,162,0,0
2023.05.01 05:13,품절주 77% 세일중.안사면 바보,397,10,2
2023.05.01 04:15,가스공사공시,437,4,1
2023.05.01 04:15,미국이 CFD 거래를 금지시킨 이유,374,6,2
2023.05.01 01:31,▶▶[800%~ 1000%] 역대 주식시장 최대수익률???,223,0,0
2023.04.30 23:47,루나개뿔 .여가 코인이냐. 화상이다 화상들아,325,13,3
2023.04.30 23:44,화욜 하한가 가나요?,298,2,4
2023.04.30 23:34,루나 0.01원 할 때 0.02원만되도 2배라고 10억 투자한 자들이,305,0,3
2023.05.01 01:03,루나 0.01원 할 때 0.02원만되도 2배라고 10억 투자한 자들이,169,0,0
2023.05.01 01:05,루나 0.01원 할 때 0.02원만되도 2배라고 10억 투자한 자들이,111,0,0
2023.04.30 23:17,주식은 투자는 본인 판단  하시길,278,0,0
2023.04.30 22:59,세력 터는거 보이제?!,234,0,3
2023.04.30 22:46,불법확인되면 거래정지에 상폐사유 발생이다,307,8,4
2023.04.30 22:23,화욜 우박사 쀼등장,261,2,2
2023.04.30 22:07,구름 한 점 없이 예쁜 날,174,2,1
2023.04.30 21:39,주범은~대주매도,280,4,2
2023.04.30 21:38,이번 주가 조작 관련 내용입니다~ 다들 확인하시고 투자하세요!,272,0,1
2023.04.30 21:21,걱정마시라,309,9,3
2023.04.30 21:21,화욜날,297,8,8
2023.04.30 21:01,종토방,241,3,2
2023.04.30 20:59,고점에 1억 물렷습니다,571,5,1
2023.04.30 20:56,라덕연은  왜   다우회장만언급하지,291,10,2
2023.04.30 20:50,화요일 하한가,270,4,6
2023.04.30 20:29,삼천리빼고,244,0,0
2023.04.30 20:11,내일 총알준비 다들?,350,5,0
2023.04.30 19:56,라덕연 채널 A 인터뷰,282,2,1
2023.04.30 19:53,내일 문엽니꽈?,385,0,1
2023.04.30 19:37,또 하따네 끝까지 먹고 튀네,192,0,0
2023.04.30 19:32,너들 이사태가 끝난것 같냐 (5월달 내내 다 뒈져 봐라),386,5,3
2023.04.30 19:15,먹튀 세력?아기. 보거라.^^,218,0,1
2023.04.30 19:11,4연하 맞았으니,316,13,2
2023.04.30 18:17,무상증자하자,287,11,1
2023.04.30 18:13,회사 유보금 1조억원,417,13,1
2023.04.30 18:07,날라간다잔아요. 회사 펀더멘털은 견고,296,8,1
2023.04.30 17:58,화요일 신용높은거  다  나온다,228,1,2
2023.04.30 17:41,유보율 3000% 재원으로 무상증자 및 액면분할 실시하라,368,11,1
2023.04.30 17:28,조작 증거는 차고 넘친다 감옥으로 보내라,256,1,2
2023.04.30 17:13,어짜피8종목 같이 올라가는 한배탔네,426,11,1
2023.04.30 17:12,솔직한 진술 하나.ㅋ,201,0,0
2023.04.30 17:06,서울가스01....이번에는 기다리면 좋은 변화가 생길 것으로 예상됩니다.,288,5,1
2023.04.30 16:41,주식15년차 베테랑 조언,629,9,12
2023.04.30 16:51,주식15년차 베테랑 조언,210,12,1
2023.04.30 17:15,주식25년차 베테랑 조언,169,1,2
2023.04.30 17:10,주식15년차 베테랑 조언,166,1,1
2023.04.30 16:08,확률 퀴즈 도전도전,209,0,1
2023.04.30 15:54,"주말뉴스를봐도  금융감독원,라씨 두군데 질책만할뿐",462,8,0
2023.04.30 15:36,형이 분석한게 얼추 맞지 않냐? ㅋㅋㅋㅋ,287,1,3
2023.04.30 14:56,주가조작은 무혐의‥,480,2,1
2023.04.30 14:47,62억 50억30억억억에헉헉간다.,214,0,0
2023.04.30 14:47,김영민 서울가스 회장도? 폭락전 13년만에 매도,401,5,1
2023.04.30 14:27,루나 사태때 10만원 자리 10원 됐을때 10억투자한,396,1,1
2023.04.30 14:23,아메리칸 파이를 열창 했단다. 주린이들아,171,0,0
2023.04.30 14:19,다가옥보내자,205,1,0
2023.04.30 14:19,초초초초초초고수는 이런데 안온다 주린이들아 ,252,2,0
2023.04.30 14:19,금융당국이 주가에 영향을 미칠 수 있는 불공정거래 혐의 조사 과정을 여과 없이 공개.. 시장 불안감과 주가 폭락을 더 키운 측면이 있다는 겁니,172,0,0
2023.04.30 14:16,덕연이 한테 빨린 서울가스 투자자 백명 집단소송,236,2,0
2023.04.30 13:58,"위기가 기회, 채권발행 하고 무상증자하자",254,3,0
2023.04.30 13:39,여보~세력 나야~~~,239,2,0
2023.04.30 13:28,다행이다,264,4,1
2023.04.30 13:23,이것만 있었더라도...'SG증권발 폭락' 피해 줄일 수 있었다,244,0,0
2023.04.30 13:20,말이필요없다. 화요일 상한가.,318,9,3
2023.04.30 13:09,상폐하자,264,3,0
2023.04.30 13:05,현대 로봇.전기차,228,3,0
2023.04.30 13:01,대주주 천재네 ,226,0,0
2023.04.30 12:57,여기도ㅡㅡ대주주가 폭락전 매도하고 튀었네,214,1,0
2023.04.30 12:56,상폐,230,3,0
2023.04.30 12:53,금요일날 사지말라고 말씀드렸습니다,303,2,2
2023.04.30 13:04,금요일날 사지말라고 말씀드렸습니다,135,0,0
2023.04.30 12:50,작전세력 몸통은?,168,0,0
2023.04.30 12:20,본보기로 상폐시켜야,307,3,3
2023.04.30 12:09,김회장 500억 먹고 튀었네...,316,5,2
2023.04.30 11:56,조작에 연루됐다면 문제지만,417,11,0
2023.04.30 11:49,하,332,6,0
2023.04.30 11:50,하,158,2,0
2023.04.30 11:47,상폐만은 면하길..,261,2,2
2023.04.30 11:44,단타쳐서 월요일까지만 놀고 버려야지,341,0,1
2023.04.30 11:43,주포가,146,0,0
2023.04.30 11:42,대주주 귀하,227,7,0
2023.04.30 11:41,김영민 서울가스 회장도? 폭락전 13년만에 매도,243,2,0
2023.04.30 11:24,입닫아,158,0,0
2023.04.30 11:22,투기종목 지정,181,0,0
2023.04.30 11:15,"좋은주식 지들끼리산게 뭔죄여,,,",270,8,1
2023.04.30 11:12,"여기회장, 11년만에 45만원 10만주 매도~4백50억",334,1,1
2023.04.30 11:01,세금? 땅?,164,0,0
2023.04.30 10:57,피해자는 그 회장들을 잡아다가,164,0,0
2023.04.30 10:43,악재든호재든,424,14,0
2023.04.30 10:38,20마넌 올까요,216,0,0
2023.04.30 10:36,어차피빠질만큼다빠졌다,276,6,0
2023.04.30 10:32,대주주 나이 80이다...,294,3,0
2023.04.30 10:31,주식 세상 만사 ,229,1,0
2023.04.30 10:18,주식수 작기때문에 빠질때조심..!!,194,0,0
2023.04.30 09:49,금융감독원 개소리,245,1,1
2023.04.30 09:35,회장,257,2,0
2023.04.30 09:32,대주주 10만주 매도 ,315,2,0
2023.04.30 09:20,김익래 ★★김영민  야들은 먼가조여오는거눈치채고팔아거액챙기고  라덕연이는 엉겹결에팔도몬하고  완전다쪼되고검찰조사받고그런가? ,257,0,0
2023.04.30 09:08,김회장님 ...,408,13,0
2023.04.30 09:08,찬티많타,191,1,0
2023.04.30 09:07,임창정★★관련주어떤거에요국립대학교입학할아그들  몇앙이나될까요그게궁금해서 잠못들어요,216,0,0
2023.04.30 09:06,화상이다 화상들아. ㅋ.지금은 에너지전쟁중.,179,0,0
2023.04.30 08:58,이번 기회에,181,1,0
2023.04.30 08:50,정리 화요일 서울가스먼저 매하시면 됩니다,298,5,0
2023.04.30 08:26,금융감독원 개소리,283,4,0
2023.04.30 08:20,세력들규압.나50억낸다 개미들큰손모아,180,0,2
2023.04.30 08:05,2020년 6만원대 작전이 시작됐다면...,225,1,0
2023.04.30 07:53,국내 천하 단타대회. (월요일 근로자의 날 휴장),291,1,0
2023.04.30 06:44,한마디 ,386,10,0
2023.04.30 06:28,무식하게,296,7,1
2023.04.30 04:57,상한가,397,9,1
2023.04.30 04:39,우리 모두 다같이 빨리 사자,252,0,0
2023.04.30 03:45,금감원장 해임,420,10,0
2023.04.30 03:06,CFD 한파가 지나고 나서 변경된 점,382,1,2
2023.04.30 03:22,참 애쓴다 ,250,5,0
2023.04.30 03:37,참 애쓴다,237,1,2
2023.04.30 02:56,CFD 거래중단,416,1,2
2023.04.30 02:47,이제빨간화요일 kaja. . . ㅋㅋ,294,6,0
2023.04.30 02:43,CFD발 거래정지 대상 종목,320,1,1
2023.04.30 02:09, 한국주식시장 현 상황 ,229,0,1
2023.04.30 01:59,오너가 폭락전 매도혔다는 곳이 여그인가?,279,2,3
2023.04.30 00:52,8개 종목의 주가는 지난해 4월부터 강세를 펼치며 이달 초까지 1년여 간 급등했습니다. ,440,14,2
2023.04.29 23:36,주가조작이 아닌 그냥 해프닝이였음?ㄷㄷㄷㄷ,438,11,1
2023.04.29 23:14,6개종목중에,313,0,0
2023.04.29 22:59,결국은 주가조작도아니고  이것도저것도아닌,361,6,0
2023.04.29 22:19,증거금 부족으로 반대매매가 벌어지면서 발생한 것으로 추정,350,3,0
2023.04.29 22:04,기회가 코앞인데...,320,11,1
2023.04.29 22:08,기회가 코앞인데...,184,0,1
2023.04.29 22:01,[뉴스추적] 기존 주가조작과 다른 점…피해자냐? 공범이냐? [MBN 뉴스센터],220,0,1
2023.04.29 21:49,여보 새력 나야~~,151,0,1
2023.04.29 21:30,...주가,242,1,6
2023.04.30 01:26,...주가,74,0,0
2023.04.29 21:03,CFD 차단했음,417,9,0
2023.04.29 20:57,일단적정시총은,337,0,3
2023.04.29 20:54,주식은 ,191,0,0
2023.04.29 20:22,심각한 건 작전세력들이 아직 다 털지 못했다는 거네,618,1,6
2023.04.29 20:12,하따 아십니까?,240,0,3
2023.04.29 20:11,"1813주 187,313원",534,1,0
2023.04.29 20:09,"삼천리는찬티글 가득,,이놈은안티글가득",182,0,0
2023.04.29 20:03,주가조작 공포테마 형성중...ㅋ,361,6,3
2023.04.29 19:59,개 또..라이같은 넘들이,195,0,2
2023.04.29 19:59,작업질.,201,2,0
2023.04.29 19:54,놀리러왔다 ,136,0,2
2023.04.29 19:57,[삭제된 게시물의 답글]뉴스봤냐,154,0,1
2023.04.29 19:49,여태까지 목표주가를 48만원 정도로 냈던 곳 인데..,423,6,0
2023.04.29 19:35,설가스 시총 6000억원,330,2,2
2023.04.29 19:34,2023.04.24 첫 하따 기준가 대비 -60.94% 하락했네,152,0,0
2023.04.29 19:41,[삭제된 게시물의 답글]거래정지,113,1,0
2023.04.29 20:00,"[삭제된 게시물의 답글]guru너만 봐라,,,거래정지",103,2,0
2023.04.29 19:16,3년 내 최저가 대비 상승률,194,0,2
2023.04.29 20:27,"언론기사만 복사하지말고,,,3년 내 최저가 대비 상승률",108,0,0
2023.04.29 18:37,거래정지 함 가자,351,1,3
2023.04.29 18:25,금융감독원 개소리,286,1,0
2023.04.29 17:51,가스공사 지에스이 대성에너지 ,268,0,3
2023.04.29 17:42,누가 이득본거야?,207,0,0
2023.04.29 17:33,다우데이타 서울가스,352,2,5
2023.04.29 17:12,대주주도 한통속이다,265,2,1
2023.04.29 17:00,"화요일 오전 전일고점145,600원 돌파면 어떻게 된다?",432,11,1
2023.04.29 16:45,관성 아시죠. 상승전환.그냥 급등합니다.,331,8,2
2023.04.29 16:33,금융감독원 개소리,305,7,1
2023.04.29 16:04,"김회장은 자사주소각및,,지분판돈으로 자사주매입해라",433,8,0
2023.04.29 16:01,Pink결정문^^(블루칩 고의 투매),176,0,1
2023.04.29 15:54,"전년도 BPS(청산가치) 270,188원",459,12,0
2023.04.29 15:52,과하게 떨졌다.,309,8,0
2023.04.29 15:47,창정이가 피해자라고?,318,8,0
2023.04.29 15:45,서울가스 유통물량이 17프로인데,489,11,0
2023.04.29 15:43,차트보면 5만원이 적정가,365,3,3
2023.04.29 15:42,와 배당금 마니주네,460,3,1
2023.04.29 15:38,서울가스는 원래 떨굴자리였음니다..,176,0,1
2023.04.29 15:23,서울가스 전략,178,0,1
2023.04.29 15:18,대주주 대량 매도,363,2,1
2023.04.29 20:52,대주주 대량 매도,73,0,0
2023.04.29 15:07,"가치주와 대주주 나이, 그리고 증여..상속",353,1,0
2023.04.29 15:05,물가상승분만계산해도,356,11,0
2023.04.29 14:55,결론은 기회,404,10,1
2023.04.29 14:51,적정가 49000원인데,182,0,2
2023.04.29 14:28,작전세력이실패로끝났는디  무슨 조사를하냐,361,3,2
2023.04.29 14:28,가진자의 특징.,290,8,0
2023.04.29 14:26,안녕하세요 ,278,8,0
2023.04.29 14:15,없는것들 특징.,274,4,0
2023.04.29 14:08,어제 소액주주 +39만원 익절 감사합니다.,166,0,0
2023.04.29 13:53,다른가스주보다 ,345,1,2
2023.04.29 13:47,각지역 가스 공급사 주가보세요. 안떨어졌어요,356,12,1
2023.04.29 13:43,두려워서 바닥못잡은 돼지들,353,7,1
2023.04.29 13:19,잘가요 상폐각,298,2,5
2023.04.29 13:03,서울베스핀가스 ㅋ달달하게먹고갑니다,156,0,0
2023.04.29 12:35,다우데이타.선광.서울도시가스,450,4,4
2023.04.29 13:17,[삭제된 게시물의 답글]근데 이러나 저러나 어쨌든,130,1,0
2023.04.29 13:20,[삭제된 게시물의 답글]명백한 주가조작 주가정지후 상페도 가능,125,1,0
2023.04.29 14:00,[삭제된 게시물의 답글]tlsd*** 너만 봐라 ㅉㅉ명백한 주가조작 주가정지후 상페도 가능,116,1,0
2023.04.29 12:14,같이 가자 같이 가야해 같이 가야 한다고,284,1,0
2023.04.29 12:11,2020년 3월 최저점에서 현재 2배오른 가격 ㅉㅉㅉ,577,11,1
2023.04.29 13:26,2020년 3월 최저점에서 현재 2배오른 가격 ㅉㅉㅉ,108,2,0
2023.04.29 12:03,다우그룹 오너 폭락 2일전 매도했다는데,308,3,1
2023.04.29 11:51,이거 상장폐지도 될 시안인가요?,449,2,4
2023.04.29 11:40,화욜,422,1,1
2023.04.29 11:37,[기사] 서울가스 지분율과 유통주식수,274,0,0
2023.04.29 11:36,2일.,288,5,0
2023.04.29 11:35,SG 관련 주식 피해자 카페 생김,359,2,0
2023.04.29 11:14,5.1일부터발전용가스 엄청많이오름,337,4,1
2023.04.29 11:11,CFD수치(6.75% 빚의 악성 뇌관으로 - 하한가 2번 정도 더 간다),511,0,5
2023.04.29 11:18,CFD수치(6.75% 빚의 악성 뇌관으로 - 하한가 2번 정도 더 간다),161,6,0
2023.04.29 11:03,서울가스 기업분석 및 적정주가 구해보았습니다.,390,1,2
2023.04.29 10:59,김회창이 17일날전자공시에 매도신고했었네???,388,2,0
2023.04.29 10:39,이런 종목은 상폐시켜야 하는데 ,312,2,3
2023.04.29 10:29,생각이란걸 해라 쫌 OOO아,330,4,2
2023.04.29 10:27,세력 평단가 7만원,393,3,2
2023.04.29 10:10,금융감독원 개소리,271,1,0
2023.04.29 09:45,제도개선 한다. 그럼 연속하한가.주가 올라가나요,325,1,0
2023.04.29 09:59,[삭제된 게시물의 답글]몇줄 읽고 감 잡았네요,164,6,2
2023.04.29 09:33,내부자거래도 조사해야,213,0,0
2023.04.29 09:08,3만에 시작된 건디.참 비싸게도 산다,440,1,7
2023.04.29 09:06,차라리 여기로,383,2,5
2023.04.29 08:42,무기한 공매도,361,14,1
2023.04.29 08:20,강한 조사가 필요한 이유..,335,2,7
2023.04.29 07:43,주가,257,1,0
2023.04.29 07:36,2차전지보다폭등할 수소차테마 경동도시가스,348,1,0
2023.04.29 05:55,개미공지,533,6,0
2023.04.29 05:50,건전한 사업장.,377,8,1
2023.04.29 05:38,안티,365,3,0
2023.04.29 05:10,5~6만원대,354,3,0
2023.04.29 03:38,원래 ...이런 주가 조작은....오너와 짜고 합니다,661,17,1
2023.04.29 05:36,원래 ...이런 주가 조작은....오너와 짜고 합니다,262,1,8
2023.04.29 03:33,외인이 매수했으니 월욜 조금 올려서 먹튀할 예정으로...,508,2,1
2023.04.29 03:29,아무리 봐도 더 떨어질 추세라는......,337,2,2
2023.04.29 03:09,빨리 사라,295,0,0
2023.04.29 02:14,여기 대주주 고점 매도 햇나요???,252,0,0
2023.04.29 01:54,거래량을 보라,518,12,0
2023.04.29 01:49,있는넘들 돈회수후,268,1,0
2023.04.29 00:55,"갑자기 안티들이 많다,",372,4,3
2023.04.29 00:41,10억이상투자의사들이 1500 명이라는데,439,7,1
2023.04.29 01:54,10억이상투자의사들이 1500 명이라는데,245,1,0
2023.04.29 00:31,어차피 윗놈들이 다짜고친 고스톱,404,8,0
2023.04.29 00:25,역겨운 사람들,218,0,0
2023.04.29 00:20,어제 여의도 클라쓰에서 추천주,364,2,0
2023.04.29 00:16,오늘 산 호구덜 화욜날에 큰일났다.,589,3,7
2023.04.28 23:37,아직도 이거 부둥켜 안고  있는분?,212,2,3
2023.04.28 23:33,"지분매각은   누구나할수있는겁니다,,",245,0,1
2023.04.28 23:19,강서구에서 이회사 가스 쓰는사업자입니다,541,14,4
2023.04.28 23:09,숏커버링 끝나기 전에 팔아,349,4,0
